cs1110,Mark Sheriff,难度 1 热度5。教授是相当厉害的一个人，讲课深入浅出。TA质量参差不齐，要选粗的大腿抱哦,PLIR 3010 国际关系理论,Legro,difficulty 5 热度3。极其优秀的人才。然而认真读书会使你学到最多东西。talk to TA，他们比教授更了解学生的困惑,SPAN 2020,Esperanza,difficulty4 hotness3 西语中级，学完2020就可以满足language requirement 啦。推荐有基础的童鞋上。UVA的语言课是真的强,COMM 1800 intro to comm,kemp,kemp 难度1 热度5 中考政治历史的学习方法。需要大量记忆哦。,CS 2102 离散,david,难度 1 热度5 cs系大水课。,,,,,,,,,,,,,,,,,,,,,
STAT3250 Data Analysis with Python,Prof. Jeff Holt,老实人很好，课程难度中上，对编程技巧有一定要求。但比较系统讲了数据分析,CS1110 Intro to programming,Prof. Sheriff,非常好的一门intro课，作业很锻炼人。Final Project很有意思。现在用的语言是Python,MUSI2370 Make Rock,Prof. Edward Coffey,这节课主要就是几个做音乐的project。能学到很多关于Rock的东西，自己也有很多做音乐的机会,MATH3354 Survey of Algebra,Prof. Lennart Meier,如果你只是想要高GPA，请不要上这课。但如果你想要感受数学的抽象美大过你对GPA的渴求，请一定上这课。这个老师现在已经不在了,ECON2020：Principles of Economics: Macroeconomics,Prof. Lee Coppock,老师非常有趣，非常好的宏观经济入门口，感觉他儿子也懂得很多,,,,,,,,,,,,,,,,,,,,,
PSYC 2150: Intro to Cognition,Prof Willingham,"Difficulty 3, Hotness 4, lecture内容条理清晰，十分有趣，instruction很明确，考试不是很难，可以drop一次midterm，比较推荐上",BIOL 2100,Prof Kittleson,"Difficulty 4, Hotness 3, 虽然是300多人的大课，老师还是能做到很available，lecture讲的非常好，回答问题很耐心，考试很fair，考虑major生物的同学可以上一节试试",HIEA 2310: Modern China,Prof Reed,"Difficulty 3, Hotness 4, prof reed对中国历史有着相当的了解与看法，lecture很engaging，是一节在第一学期上着很不错的，可以满足两个requirement的课。",PLPT 1010: Intro to Political Theory,Prof Bird,"Difficulty 4, Hotness3, 对想politics或PPL major的同学是一个很不错的入门课，讲了不少类似Thomas Hobbes这样有名的政治理论家，想了解西方政治文化的同学也很推荐上",PSYC 3410,Prof Emery,"Difficulty 4, Hotness 2, 课堂内容比较乏味，基本照搬书本，本来觉得abnormal可以是很有意思的一个学科，比期待差很多。",,,,,,,,,,,,,,,,,,,,,
CS 1110 Intro to programming,Prof. Sheriff,5,FREN 3031,Labadie,Hotness 1,CS 2110,Basit,5,COMM 3410 Comm Law,Moore ,5,Comm 3420 Comm Law,Moore,5,,,,,,,,,,,,,,,,,,,,,
BIOL 3050 Intro to Neurobiology,Barry Condron,"Difficulty 5, Hotness 4. 想选还是可以选上的，没上过BIOL两门intro给他发个邮件基本都可以进，内容考试非常难，毕竟是neurobio拿A肯定不容易，涵盖内容非常广，学到多深看自己。lecture很棒 一定得去（建议录下音）",PHYS 2660 Scientific Computing,Chris Neu,"Difficulty 3, Hotness 3。可以喝CS1（python）一起上，这门课从入门开始教C，Unix等等，基本作业是编程model一些物理模型，不难还非常有趣。Chris的lecture进度非常慢，很多东西要靠自己学，但他是非常幽默的一个人。",PSYC 2150 Intro to Cognition,Dan Willingham,"Difficulty 4, Hotness 5, 一定要上Willingham的！！非常好玩还有用的心理入门课，有些是history比较无聊，但基本是conceptual的内容，考试有些问题会挑战大脑。",SATR 2110 Cult. Tr: TravWriting in South Asia,Mehr Farooqi,"Difficulty 3, Hotness 3, 满足non-western和second writing很好的课，Mehr非常幽默，lecture很好玩。当时想上因为对南亚（印度，巴基斯坦）不了解。作业基本是一页的journal，期中期末各一个paper，Mehr打分比较松，paper找她OH去改就好。",PSYC 2300 Intro to Perception,Dennis Proffitt,跟2150 cognition比起来很easy A，内容更多要记忆，Denny上课很慢，会跟你说什么时候记笔记什么时候不要记，大一同学如果上课还不适应的话，这个课还是非常好的。考试只要背笔记就行，蛮简单的。有个optional lab另外是1学分， 讲一些proprioception和错觉的东西蛮好玩的。Denny自己lab里的的research很有趣，基本是proprioception和VR。,,,,,,,,,,,,,,,,,,,,,
CS 2150 Programming and Data Representation (2016 Fall),Prof. Bloomfield,"Difficulty 4, Hotness 5",PSYC 2150 Cognitive Psychology  (2017 Spring),Prof. Willingham,"Difficulty 3, Hotness 4",APMA 3180 Linear Algebra (2016 Fall),Prof. Abramenko,"Difficulty 3, Hotness 4",CS 3102 Theory of Computation (2016 Fall),Prof. Robins,"Difficulty 2, Hotness 4",CS 4750 Database System (2016 Fall),Prof. Hendawi ,"Difficulty 4, Hotness 3",,,,,,,,,,,,,,,,,,,,,
Math 2315,Prof. Rapinchuk ,所以考试都是take home,RUTR 2730,Prof. Connolly,50% A 50% A-,WGS 2100,Prof. Hagermen,很好玩，A好拿,PLPT 3030,Prof. Idris,很难，但是很有意思，非常into politics的可以上,HIEA 1501,Prof. Zhang,别上这门课,,,,,,,,,,,,,,,,,,,,,
Math 1320,Mike Willis,"Difficulty 2, hotness 3, 内容不难 老师很好",Econ 3020,Sophie,"Difficulty 5, hotness 3, 老师上课速度太快 考试也很难",Yoga,John,"Difficulty 4, Hotness 5, 柔韧性不好的会很难接受 但是课程很有意思 做完也会神清气爽",Enwr 1507,Jane Boatner ,Difficulty 2 Hotness 2 老师人很好,Stat 2120,Jeffrey woo,"Difficulty 3, Hotness 4, 老师人很好内容不难 但是作业比较多",,,,,,,,,,,,,,,,,,,,,
FORU 1500-005 Forum Session,Prof. Eaker and Prof. Hawthorne,Difficulty 2 必须推荐我的forum，这是一个鼓励跨学科思维的专题性1st 2nd yrs program，一共有五个，内容各不相同。成绩角度讲，教授超级nice，上学的东西一点也不难，easy A。更重要的是这个program重塑了我的世界观，教会了我非常丰富的思维模式和知识。如果看到forum的topic有自己喜欢的，一定要尝试申请，意义非常重大。这是个series class持续到大二下，期间有优先选课权。这个课的教授现在是我各种推荐信的来源，我最好的朋友们基本都是在forum里面认识的。真的很推荐,ANTH1010 intro to anthropology,Prof. Armengol,Difficulty 3 阅读特别多，但是真的，真的，真的很有趣。给分有点严，不过好好看书好好听课，discussion多说话还是挺稳的。担心discussion说不上话的小朋友请放心，认真阅读的你会迫不及待地想要发言，然后TA就会在小本子上记上一笔，然后你participation分就很高。这节课的discussion是我上过最顺的，气氛非常舒服。,PLPT 1010,Prof. Bird,Difficulty 4 挺难的，但是还没有太难。上课内容非常有意思，教授特别逗。discussion也很有趣，就连写paper都很愉快。grade有点harsh，但是成绩和你在这节课的所学相比完全就是trivial。强烈推荐,PHIL 1730 intro to moral and political philosophy,Prof. Stangl,Difficulty 3 内容很难但是考试和paper都简单。会发study guide，好好思考一下guide上的问题就稳A了。这个课最重要的是，我去年学的时候没有什么感觉，但是我这个学期上很多课的时候发现PHIL 1730的影子始终在。每一个问题我都会不知不觉地，相当熟练地联系到这节课的所学上，这才意识到这节课是多么重要的ground work，以及教授潜移默化地对我的思考造成了多大影响。如果你喜欢哲学，或者想学政治 人类学 历史等， 请好好考虑上这节课!,CHEM 1810 Principles of Chemical Structure (accelerated),Prof. Harman,Difficulty 5. 一个Accelerated包含多少学生的血与泪。与它的兄弟CHEM 1410不同，这节课学出来的学生要么就此放弃化学，要么从此站在uva化学的巅峰。Accelerated相当于honor课程，难度很高，但是很有趣也很有用。如果你上1810，当人家问你你是上1410吗的时候，你就可以骄傲地说你上的是honor系的课程，比400系高到不知哪里去。强烈推荐给国内普高的同学，你们会发现你们把一门honor课学成了easy A，如果真的想从事化学专业，那么来上800系的课程吧。uva不是一所science and tech的学校，如果你想让自己和uc的同学齐头并进，不输在起跑线上，务必考虑800系列化学。,,,,,,,,,,,,,,,,,,,,,
PHIL 1410 Forms of Reasoning,Prof. Cargile,"Difficulty 4, Hotness 3, 教授非常友好。盛传的GPA killer，但如果经常去office hour 做书上的练习，同学们应该没问题。所有期中考试take home，没有作业。",COMM 2010 Intro to Financial Accounting（2017 Spring）,Prof Backof,Difficulty 1，Hotness 4 课程简单，作业合理，考前突击能解决问题。,MATH 3100 Introduction to Mathematical Probablity（2016 Fall）,Prof. Abdelasek,"Difficulty 3, Hotness 4, 对于有排列组合（小学奥数难度）和stats基础的同学来说没有问题，属于简单的数学课",ECON 3030 Money and Banking(2017 Spring),Prof. Bethune,"Difficulty 3.5, Hotness 3.5, 可以通过这节课对经济建模有很好的认识，课程材料很多。读书，Homework练习，每天复习是取得好成绩的关键。Prof 的office hour很有帮助",Math 3310 Basic Real Analysis(2017 Spring),Mr. Santhabrone,"Difficulty 2, Hotness 2, 老师非常好，很年轻但是讲课很清楚，课程内容也比较简单，考试题目大量来自书上及作业原题，值得推荐。数学专业必修课",,,,,,,,,,,,,,,,,,,,,
cs 2110,sherriff,difficulty 3 老师很好！！而且就算AP能换，学一下python也挺好玩的,cs2110,prof. Nada Basit,"difficulty 4
prof basit 很好！但是上课有点无聊会学不少java的概念",cs2102,prof David Edwards,difficulty 4.5 hotness 2逻辑和证明对我来说挺费劲的🙃,sts 1500,prof Carlson,"difficulty 500，hotness -500
就我个人而言 非常无聊非常糟糕的一节课 单纯的偏见不喜欢",apma 2120,prof ma,"difficulty 4 hotness 5
是个中国老师 超棒讲课超级清晰 而且人超级好",engr 1620,prof keith williams,"difficulty 2 hotness 5
prof 很棒 工院必修基础课 最后大家造了个乐器",,,,,,,,,,,,,,,,,,
HIEA 1501,Robert Stolz ,"Difficulty 5
Hotness 1 (I wish I can give 0)

This class satisfies two area requirements of CAS, history and second-year writing. But please be advised, if you are a first-year and not good at writing and not yet used to English reading, DO NOT take this class. The class is about history on the surface, but it actually requires a lot of readings on philosophy. The instructions on writing the essay was confusing, but the professor was always willing to address your questions. He was almost available in his office everyday, but he did not reply to any of my emails :)",FORM 1500,Len Schoppa and Shige Oishi,"Difficulty 4
hotness 5
BEST class I had in UVA so far. Participation is highly valued  and the contribution to in class discussion counts toward a great deal of the final grade. This class is special as it is part of the FORUM program that is only recently available to UVA CAS students and aims to replace to CAS requirements. Please contact me in person if you want to know more about the program.",COMM 1800,Robert Kemp,"Difficulty 2
Hotness 1
haha This is one of the class that filters out those people who are not really interested in doing comm school in the future, because as a prerequisite of the comm school, it is BORING!!! This class gives you a overview on how business works and really test if you are determined enough to do comm school in the future. All exams are not cumulative and you can get good grade by completing all practice quizzes online at least three times and taking good notes Kemp's take-way in lectures.",ECON 2010,K. Elzinga ,"Difficulty 3
Hotness 2

Some people say Prof. Elzinga, as one of the most famous Econ professor, is overrated. Well, it is partially true. His lectures were not so structured and hard to take notes on. However, he can be very helpful not only in the course but in providing other social resources once you get to know him more.",STAT  2120,Jeffery Woo ,"Difficulty 3
Hotness 2
Again it is a prerequisite for the comm school and is a true test for your interest in doing comm. The knowledge is very useful not only in finance but also in other social studies. He often messed up the quiz solutions. However, the course is still recommended for its applicability.",COMM 2010,Ann Backof,"Difficulty 4
Hotness 5+++++

Prof. Backof is the best stylist in comm school :) She organizes materials and gives very informative and structured lectures. Accounting is all about sets of rules, so her lectures notes come in handy every time if you are confused about definitions and accounting principles.",PSYC 2600,Fred Smyth,"Difficulty  3
Hotness 3

Social psychology is very interesting, despite Smyth's midterms and finals are said to be the most difficult ones among all the Social Psychology professors. The textbook is really interesting and can give you another perspective in viewing your people around you and your decisions. Plz pay attention to him in lectures and be present in every lecture for the all iclickers questions, which make up 10% of the final grade.",,,,,,,,,,,,,,,
ECON3010 Microeconomic,Peter Troyan,"经济必修课, 都说301很难 但是这个老师讲课非常有条理, 只要上课好好记笔记, 平时problem set认真搞懂就不会有问题",ECON3020 Macroeconomic,Jae Won Lee,经济必修课 但是这个老师讲得绝对是超级大水课 考前把ppt通读一遍就好了,ECON3030 Money and Banking,Zachary Bethune,平时只会读ppt 但是考试前一定要把textbook认真看一遍 讲课很有条理 总体来说认真理解概念 学下来并不难,DRAMA2310 Costume Technology,Marcy Linton,如果想选水课的话 推荐这节服装设计 绝对轻松easy A 一个学期总共3个project 老师会手把手教你运用sewing machine,STAT3130,Jeffery Holt,看见Holt的一定要选 Stat department没有什么好教授 所以他的课觉得让你觉得上得值得,,,,,,,,,,,,,,,,,,,,,
PSYC 2150 Cognitive psycology,Prof. Willingham,"Difficulty 3~4, Hotness 4 非水课 讲关于memory，attention，cognition方面的心理学 内容非常有趣",ASTR 1220,I forgot,"Difficulty 5, hotness 2. 介绍黑洞理论，狭义广义相对论，宇宙恒星进化理论。课有些难，强烈推荐对天文物理感兴趣的同学上，可以了解一些基本的相对论等理论。",Chem 1610,Prof Metcalf,Difficulty 2 Hotness 3. 工院必修课 文理院也可以选对应的chem 1410. 难度大概是高一化学.,Chem 3610 Physical Chemistry,Prof Gahlman,"Difficulty 10, Hotness 1. 化工专业必修课 仅推荐给对量子理论 薛定谔方程 波函数有极其浓厚兴趣的同学. 难到爆炸.",Che 3321,Prof Ford,"Difficulty 10, Hotness 1. 化工专业必修课 如果你想选化工专业 做好被这门课怼爆的准备",,,,,,,,,,,,,,,,,,,,,
ECON 3030 Money and Banking 17 spring,Zachary ,Difficulty 3 hotness 4 这节课对想之后做finance的同学很有帮助 对banking进行了一个比较全面的介绍，除了有些model比较难， 大部分的内容都比较简单 prof和ta人都很好，也很愿意帮你解决不会的问题,RELB 2100 intro to Buddhism 16fall,Sonam Kachru,difficulty 2 hotness 2 如果你想要对佛教有更加深入的了解话 很建议选这门课 会对佛教的历史和后期的各种经文进行一个简略的研究。个人觉得课程的前半段相对来说比较有趣 我每周reading的量较多 但是不用全部读完。midterm很简单，一学期只有期末有一个十五页的 paper,COMM 1800 making business work 17s,Kemp ,Difficulty 2 hotness 5 这门课还是挺有意思的,COMM 2010 financial accounting 17s,ann backoff,difficulty 4 hotness 5 这节课是商院的入门课 可以在上完1800后上，也可以和1800一起上。教授说话的声音很甜，人也很好。和其他课相比，还是需要多花点时间的,phil 2060 philosophy problem in the law,Simmons ,"Difficulty 4 hotness 4
教授讲课很有意思，reading的话对于philosophy来说不是很多。",,,,,,,,,,,,,,,,,,,,,
CS 1110 Intro to programming(2016 Fall),Prof.Sheriff,1,CS 2102,David Evans,1,CS 2110,Nada Basit,2,MATH 3354,Sara Maloni,4,CS 2150,Bloomfield,2,,,,,,,,,,,,,,,,,,,,,
CS 1112 Intro to Programming,Don't even remeber...,Do the hw!,HIEU 2061 The Birth of Europe,Prof. Kershaw,"Nice TA, answers most questions",ASTR 3880 Planetary Science,Prof. Howard,"Somewhat dey lecture but still worth taking, nice prof.!",PLAP 2250 American Political Tradition,Prof. Connor,"Avoid at all cost unless you intend to major in American government study, no chill...",AMST 3180 Intro. to Asian American Study,Prof. Chong,"Nice instructor, loads of response papers, but still wroth taking as a first-year",ECON 2010,Prof. Marc,This class looks easy but actually need A LOT OF EFFORT to excel. ,,,,,,,,,,,,,,,,,,
ARCH 5710 Photography and Digital Media,Kirk Martini,"Difficulty 2, Hotness 4, 建院的选修课，除了基本的照相构图常识，重点教了Photoshop技巧，对学建筑很有用，难度不高，也适合兴趣爱好。",PSYC 2150 Intro to Cognition,Prof. Willingham ,"Difficulty 5, Hotness 4, 这节课内容非常有趣，非心理major也适合学，不过考试略难，上课一定要认真听讲记笔记，教授超级好","DRAM 1010, Intro to Theater",Cady Garey ,"Difficulty 1, Hotness 5, 成绩包括一个paper，一个考试和一个Final表演，基本上没有作业，而且通过小组排戏也可以认识很多人","ARCH 1040, Intro to Design",Prof. Carmen,"Difficulty 5, Hotness 3, 建院必修课，可以学到非常多专业知识，为建院打好基础，不推荐非建院的学生上，涉及的专业知识太多",ARCH 5424 Direct Cinema and Media Fabric,Earl Mark,"Difficulty 3, Hotness 3, 这节课讲了电影的起源和以前是如何制作电影的，用最原始的方法去制作一个影片",HIEA2222 Modern China History,Reed,Difficulty 3 Hotness 3，能了解从晚清到建国后的详细中国历史，包括一些在中国被禁的历史事件，教授讲的不错，也很可观，阅读较多，写一篇paper，两次考试都是写essay，和名词解释，考前会给出study guide，考试内容一定会在study guide 里，复习需要时间较长。和小伙伴合作准备，A- 容易，A 稍微有点难,PSYC 2150 Intro to Cognition,Dan Willingham,Difficulty 3 Hotness 3 Willingham 教的非常非常好，抽象概念都解释的非常清楚，课本身也很有意思,Econ 2020 Principle of Econ： Macroecon,Lee Coppock,Difficulty 2 Hotness 4 教授很有魅力，不难,COMM 2010 Intro to Financial Accounting,Ann Backoff,Difficulty 3 Hotness 4 商院prerequisite，很有用，Backoff 专业素质过硬，讲的很清楚，考试复习笔记就行，书基本不用看,Intro to Social Pyschology,Smyth ,Difficulty 3.5， Hotness 4，课本身比较有意思，但看教授，别上Smyth 的课，讲的很无聊。考试基本就是背书,,,,,,,,,,,,,,,,,,,,,
Math 2310 Calculus 3,Petrov,"Difficult class, less than ideal lecturer, easy grader though",ANTH 2500 Migration and Middle East (topic changes each year),Mary Pancoast,A lot of info about the region.  First time offered.  Not sure if there will be offered at any other time.,COMM 1800,Kemp,"Read the books, watch the videos, do the practice exam.
In lecture, get his take-away and that's it.",CS 2110,Basit,Basit is better than David in my opinion. Very lenient.,Comm 2010,Backof,Nice teacher.,,,,,,,,,,,,,,,,,,,,,
CS1110 (2016 Fall),Sheriff,"Difficulty 1, Hotness 5. 很简单有意思的一门python/programming入门课。",BIOL 2200 Intro Bio,Kittlesen,"Difficulty 4, Hotness 4. 生物专业pre-req，细胞/基因入门课。推荐给对这方面感兴趣的童鞋们，虽然有难度，但教授很赞。",Econ 2020 Principles of Macro,Coppock,"Difficulty 3, Hotness 4. 很赞的宏观经济入门课。教授自己写的教材，aka只要你老老实实做reading，master这课没问题:P",COLA (Why haven't we cured cancer?),Kittlesen,"Difficulty 1, Hotness 3. 推荐上COLA，因为可以间接选一个advisor。这节COLA偏生物/医学，对于感兴趣的十分推荐。speculation: everyone gets an A.",JAPN 1010,Kawai,"Difficulty 2, Hotness 2. UVa日语department很赞，所有老师都很认真负责。一班15人左右，课上重点是练习口语。",,,,,,,,,,,,,,,,,,,,,
STS 2500,Kent Wayland,"Difficulty 5, Hotness 2 老师essay评分不按rubic，这课没有ta，每周大概100-200页readings，workload还好",APMA 3110,Julia Spencer,"Difficulty 3, Hotness 3，老师人好课简单，ta给力",MAE 3210,Rita Schnipke,difficulty 4，hotness 4，这课是MAE的必修课，老师人好但不会教书，要自学，百分之八十 A-/A,MAE 4710,Gavin Garner,difficulty 4，hotness 4，这课好有意思，实用性非常高,MAE 2310,Jason Kerrigan,Difficulty 2，hotness 4， 简单易明，每周有2次作业due，但都是书里题,,,,,,,,,,,,,,,,,,,,,
chem 1610,Metcalf,不是必修别上 如果有过高中化学基础拿A不难 千万别上metcalf的课 人好但是课就算了,CS1110,Tychonievich ,不算太难 教授人满分,APMA2120,Mohajeri,教授巨搞笑 但是听课想睡觉,econ 2020,coppock,推荐 难得老师讲得好 内容还很有趣,MSE 2090,James burns,课还是有点难度 主要是概念太多 内容看个人我觉得不算特别有趣 教授也是很好的人 ,,,,,,,,,,,,,,,,,,,,,
PSYC 2150 Intro to cognition(2016 Fall),Daniel Willingham,"Difficulty 5, Hotness 4, 这节课内容还是很有意思的，内容有一点难，需要看书背概念。",MATH 2310 Cal III  (2016 Fall),Ramanujan Santharoubane,"Difficulty 3, Hotness 3 老师讲的一般，但考试给分比较高，数学专业的prerequisite",ECON 2010 Principles of Economics: Microeconomics (2016 Fall),Kenneth Elzinga,"Difficulty 3, Hotness 5，这节课内容还是很有意思的，只是考试比较难，TA很好，会及时解决问题。",CS 1110 Intro to programming (2017 Spring),Luther Tychonievich,"Difficulty 3, Hotness 4,这节课内容比较简单好理解，老师讲课很好，TA也很好，会及时解决问题。",MATH 3100 Introduction to Probability (2017 Spring),Tai Melcher,"Difficulty 4, Hotness 2, 这节课内容还是很有意思的，对逻辑思维要求很高，考试不算难",,,,,,,,,,,,,,,,,,,,,
ECON 3020,Jae Won Lee,"Difficulty 2, Hotness 4, 我觉得Easy A，教授人好",MATH 3100,Abdelmalek Abdesselam,"Difficulty 4 , Hotness 2, 教授上课很随性，不一定适合每一个人，慎选",ENWR 1507,Jane Boatner,"Difficulty 1, Hotness 3, 这个课很水，教授人很好，要上两个学期，如果申请商院(强调课程难度)慎选",ECON 3010,David Mills,"Difficulty 5, Hotness 4, 我觉得这门课很难，教授讲的很一般，不怎么curve，教授风格因人而异",STAT 3080,Gretchen Martinet,"Difficulty 3, Hotness 3, 没有考试，但是平时作业量大，每周一个in-class assignment---和上课讲的内容无关:( 自己上网找方法，自己解决。",,,,,,,,,,,,,,,,,,,,,
Chem 1420 general chemistry 2,Kevin Welch,"Take general Chem with Welch!!! The way he explains he concept is clear and engaging. There are 4 tests and a final in total. The tests are hard, but the lowest test test only counts for 6% of your whole grade.",Chem 1410 general chemistry 1,Linda Columbus,"The professor is nice, but somehow she doesn't know how to explain the concepts to students, and she makes EVERYTHING so confusing. Tests are hard, but the professor curves a lot. ",ARH 1010 Achitecture history,Lisa Reilly,Don't take it if it is not a requirement( a school). Tests are essay questions and very hard. You need to memorize a lot of stuffs in this class.,CS 1110 intro to programming,Luther Tychoneivich,"The professor is a nice guy. He makes video records of every lecture, so you can go over it after class. ",ENWR 1507/1508,Jane Boatner,A alternative choice for international students to fulfill their first writing requirement. The professor is very nice and approachable. 3-4 essays and one portfolio,,,,,,,,,,,,,,,,,,,,,
CS 2110,Basit,难度: 中。老师比较随便，考试比较重要。,STAT 3120,Taylor Brown,老师也教不会 一定要努力自习,CS 2150,Bloomfield,一定要提前做lab 可以不去lecture,MATH 3351,Lloyd West,好人 简单 不用犹豫,ECON 3010,Marc Santugini,好人 作业有难度但是量不多,,,,,,,,,,,,,,,,,,,,,
Phys 2415 Electric and Magnetism (2016 Fall),Robert Jones,非常非常认真负责的一个老师！会把大量的时间都花在本科生身上，只要你有不会的就努力reach out到他，他一定会竭尽所能帮你解决所有作业中的问题。所以说如果作业不会写一定要去office hour。讲课非常风趣，很有条理，经常做一些很有意思的课上实验，比如有一次他自己做了一个滑轮挂在屋顶从教室的一头荡到了另一头。是一个不是很难拿A的课！期末会有意外的extra points的！,Arts 2610 intro to drawing I,Barbara Bernstein,我最喜欢的教授之一，课上基本都是没什么绘画基础的学生，所以如果你绘画一般千万不要担心。Barbara特别喜欢中国学生，会耐心地鼓励你。而且她的这门课相比其他老师的，作业真是少到不行！每周不会超过一小时！轻轻松松可拿A！,Comm 2010 financial accounting,Ann Bachof,美女老师！人美腰细腿长！科科，跑题了。最认真最nice的教授之一！对待学生真是温柔到不行，人又聪明，细致回答你一切问题！回答完了每次都还再三确认你是否听懂了，然后还抱歉自己之前可能讲的不清楚。美中不足的是这门课需要在考试中下点功夫才有可能拿A,STAT 2120 intro to statistics,Jeffrey Woo,真的是神烦的一门课，但是又必须得上。分为lecture和lab两部分，作业奇多，而且项目多且繁杂，一周五个due，稍不留神就会少做一次作业。不过好在每种作业都有几次drop的机会，期末会有一点点extra points. lab有时会记attendence，由于这门课大量的ta和grader都是中国人，所以可以有问题多多跟学长学姐提问。由于这门课很大，教授不怎么回邮件。更重要的一点是教授说着一口新加坡英语！每次都觉得他说话有口痰在嘴里，上了两次lecture就再也没去过了。,phys1429 Electric and magnetic lab,Maxim Bychkov,"是一门和phys2415配套的电磁学lab，即使你用ap physics C换掉了电磁学，也需要上这门lab。这门课时间很多，永远不用担心选不上，缺点是作业比较多，每周都有prelab, in-lab, post-lab。其中inlab report打分非常严格，永远都不知道为什么被莫名扣分，也不给看rubric。再加上课上大量的美国人及其不靠谱，所以说虽然只有1学分，但是却没有那么轻松拿A。索性大部分ta都非常好，实验有不懂的一定要马上就问。提前做完实验收拾东西回家还是很常见的。哦对了，这门课你是很难见到教授的，做实验都是TA带着做。",,,,,,,,,,,,,,,,,,,,,
Art History 1051,Prof.Dobins,"Difficulty 4, Hoteness 3, Prof Dobins是我在uva最喜欢的教授之一，很博学又有趣的老教授，打开你艺术世界的新大门，真的很受用！",Studio Art 2220,Dana Ollasted,"Difficulty 4, Hotness 2, 老师给分比较严格，但是受益匪浅，学会使用adobe premiere, photoshop, aftereffect，audition 等制作图片，音频，视频艺术",Classics 3100 Age of Odysseus,Prof Anna Stelow,"Difficulty 5, Hotness 1, 教授很负责，阅读量很大，对荷马史诗及其他古希腊史诗很有见解，拓展人文基础",Comm 3410 Common Law 1,Sherri Moore,"Difficulty 2, Hotness 5, 教授几乎可以说是uva 最受欢迎的教授之一，学识非常渊博，讲课很生动，把繁琐的法律讲的非常通俗易懂",Music 1310,Can't remember,"Difficulty 1, Hotness 4, 这节课很适合有一点点音乐基础的同学巩固和深入学习乐理知识，课堂氛围很轻松，也没什么课业压力",,,,,,,,,,,,,,,,,,,,,
RELB 2054 Intro to Tibetan Buddhism,不记得了. 老师好像换了,"内容非常有意思，跟我们传统知道的佛教不太一样。阅读量还好，相比于其他课也不算很大。每周虽然有必须去的discussion，但老师grading比较容易，基本可以拿A. difficulty 2, hotness 5",PHIL 1750 Meaning of Life,Walter Ott,"非常有趣的一节课，也非常适合这个阶段的我们。课程总体还是有些难的，discussions比较多，但是收获也不小。 difficulty 4, hotness 3",ECE 2066 Science of Information,Professor Reed,"你要不是真对信息技术感兴趣，那就别上了。很多人上是因为这是一个engineering的选修，但作业对大一的学生太有挑战了。difficulty 5, hotness 2",CS 2110 Software Development Methods,Nada Basit,"CS最早的必选课之一 ，没什么说的了 :)  enjoy!
difficulty 3, hotness 2",STAT 3120,Ann Liu,"这是stats专业最难的课之一，主要在于老师都不怎么样，基本靠自学。Liu是现在的phd学生，所以学生提问有时候答不出来。这节课一靠书二靠自己，三靠cheat sheet。 difficulty 4, hotness 1",CS 4740 Cloud Computing,Marty Humphrey ,"我最喜欢的cs课了，选到了话最好试试。最工作帮助挺大的。
difficulty 3, hotness 4",,,,,,,,,,,,,,,,,,
Math 2310 cal3,Ira Herbst,Difficulty 2.5 hotness1 教授水平很高就是不会上课,Econ 2010 Principles of Microeconomics,Kenneth Elzinga,"Difficulty 3,hotness 5 Elzinga 老爷爷上课很催眠",Phil 2660 philosophy of religion,Trenton Merricks,"Difficulty 5 , hotness 5  教授超级nice，内容很有趣，论上帝到底存在不存在",Arth 2052 Ancient Egypt,Anastasia Dakouri-Hild,"Difficulty 3 , hotness 2 无意间发现的一门很有趣的课，讲法老，讲金字塔，关键这课不要写paper，还满足两个requirement",Span 1010 &1020 Elementary Spanish,Staff,"Difficulty 3, hotness 3 零基础学西语，现在准备minor Spanish, 教授人都很好，除了作业有点多，A比较难拿",,,,,,,,,,,,,,,,,,,,,
APMA 2120,Prof. Hui Ma,5 Best math professor for Multivariable ever. Patient about her students and knows the materials well.,CHEM 1610+1611,Lisa Morkowchuk,5 Clear teaching logic and knows the materials well.,CS 2110,David Edwards,3 虽然很多人不太喜欢这门课，但是Edwards是个很好的人，虽然上课有些枯燥和不清晰，但是你要是下课经常问他问题也是可以develop good relationship的,ENGR 1620+1621,Keith Williams,5 Coolest professor ever. 上课让我们自己从cigar box做小提琴，知道怎样可以打开学生对于工程的兴趣。,STS 1500,Carlson,2 ……the most egoistic professor in UVA,APMA 2130 ODE (2017 spring),John Dorning,5. 人很好，上课清晰，对自己交的内容很enthusiastic，作业有点多,CS 2102 Discrete Math(2017 spring),David Edwards,,ECE 2066 How the iPhone Work,Keith Williams,教授很好，学的东西很有趣，最后会让你拆一个手机,ECE 2330 DLD （2017 spring）,Joanne Dugan,教授很好，讲的是基本电路，很有趣和有用,GERM 1020 (SPRING 2017),Rebecca Slodounik,课很有趣也很有用，作业不太多,PHYS 1429,Staff,lab很好玩，但是分数depend on你的队友聪不聪明,
